id,user_id,sequence_number,session_id,created_at,ip_address,city,state,postal_code,browser,traffic_source,uri,event_type
551,34,12,3c06e3f2-e8ed-4eb6-b24c-ccec40b8c2e7,2019-08-16 06:37:53 UTC,106.89.165.48,Kansas City,Kansas,66102,Chrome,Email,/cart,cart
1730,106,6,6d550704-9304-48df-990d-01fdbb676694,2021-02-22 05:56:40 UTC,103.12.134.61,New York,New York,11372,Chrome,Email,/cart,cart
2093,136,3,88457dec-f879-4f47-9585-98067ff94d75,2020-01-15 01:35:00 UTC,209.79.4.205,Beijing,Tianjin,300456,Firefox,Email,/cart,cart
2190,138,3,2729a4a5-1177-4a13-8419-f5f79f350876,2021-03-02 09:15:42 UTC,56.27.73.26,Quanzhou,Liaoning,110041,Chrome,Email,/cart,cart
2882,186,4,0933c284-960e-4f9b-9950-82e2d831c8e4,2020-01-19 00:54:42 UTC,45.195.175.235,Currais Novos,Rio Grande do Norte,59380-000,Safari,Email,/cart,cart
3460,223,12,7f2badab-2fd7-4fc2-81f7-680d38327919,2021-04-01 07:38:52 UTC,160.227.172.135,Terrassa,Cataluña,8224,Safari,Email,/cart,cart
4267,280,4,4ec2d8d5-8fb0-4874-b5b1-6fd65cb2096c,2021-03-28 14:03:46 UTC,137.234.165.61,Ayamonte,Andalucía,21400,Firefox,Email,/cart,cart
4301,284,4,6cfe802b-818b-4eaa-a700-32a7971af065,2022-01-08 08:45:56 UTC,92.149.131.23,Miami,Florida,33133,Chrome,Email,/cart,cart
5399,386,4,575e190c-bc63-4194-ab93-723fca06bfe1,2022-01-05 13:53:02 UTC,215.1.178.31,Shaoxing,Beijing,100123,Safari,Email,/cart,cart
6204,439,4,ce582f32-848c-4ad4-805e-b137bed82b6e,2020-12-24 05:45:01 UTC,61.64.118.74,Auburn,California,95603,Chrome,Email,/cart,cart
6298,445,6,c68f90f2-d92f-44c1-b5be-aa24d00a89c5,2022-02-28 07:19:36 UTC,187.171.241.130,Xining,Guangdong,523067,Firefox,Email,/cart,cart
7269,517,4,b02a00e1-af30-472d-89ea-315d69c28d23,2021-09-27 00:24:46 UTC,64.162.166.33,Seattle,Washington,98108,Safari,Email,/cart,cart
9439,672,9,d39b8273-7bb1-4c76-b5fa-c32bc5ca2e0c,2020-04-04 14:09:17 UTC,5.147.155.151,Brasília,Distrito Federal,70297-400,Safari,Email,/cart,cart
11585,830,6,3bee9127-ae51-4024-8a73-f8566a8741f3,2021-02-03 06:07:17 UTC,201.42.254.9,Décines-Charpieu,Auvergne-Rhône-Alpes,69150,Chrome,Email,/cart,cart
11865,852,3,525daf9b-e0e1-400a-b202-45da8385d234,2019-09-09 02:33:12 UTC,81.28.151.116,Yueyang,Guangdong,518103,Firefox,Email,/cart,cart
12629,899,6,6acdc680-dec7-40c5-aeb4-1891804f9689,2022-04-21 12:39:13 UTC,75.159.111.126,Linyi,Henan,454099,Safari,Email,/cart,cart
12736,906,3,b4e53a8c-9399-4f61-89e3-c2c87b31dd00,2020-08-21 07:48:27 UTC,155.64.36.78,Nova Serrana,Minas Gerais,35519-000,Chrome,Email,/cart,cart
13296,954,6,b9b79788-58d9-4981-b821-c47d8d502a7e,2022-01-21 23:31:26 UTC,76.69.126.117,Liège,Wallonia,4020,IE,Email,/cart,cart
15183,1075,4,30bfb8c0-a0e1-4cce-bab5-a7d971c00815,2020-10-26 02:14:47 UTC,202.203.102.193,Hangzhou,Shanghai,201900,Firefox,Email,/cart,cart
15255,1082,6,09d522f6-093d-4707-afbe-0572cfc75568,2022-04-28 05:15:46 UTC,106.159.41.238,Keystone,Florida,33556,Chrome,Email,/cart,cart
15489,1104,6,543ca9db-abe5-4e8d-98e2-459b68422408,2021-02-15 09:35:53 UTC,214.71.100.91,Hefei,Shanghai,201318,Chrome,Email,/cart,cart
17806,1270,4,4a16fecc-243c-48cf-ba05-3e74c7cbe720,2020-02-15 08:32:20 UTC,99.24.65.218,Villers-Cotterêts,Hauts-de-France,2600,Safari,Email,/cart,cart
19427,1416,9,f328f3f0-7215-47d9-8562-a7cbbd2b5797,2021-09-10 05:40:44 UTC,93.218.223.139,Blackman,Michigan,49201,Chrome,Email,/cart,cart
20462,1494,12,17574c63-5f43-4dad-9884-4b349c31d4c4,2022-02-14 08:14:05 UTC,141.15.249.51,Jacundá,Pará,68590-000,IE,Email,/cart,cart
23293,1725,3,efbe228e-f39e-4aaf-9d39-b4cda5c9a966,2022-01-04 22:21:43 UTC,3.23.28.77,Worksop,England,S80,Chrome,Email,/cart,cart
