id,product_id,created_at,sold_at,cost,product_category,product_name,product_brand,product_retail_price,product_department,product_sku,product_distribution_center_id
58100,16898,2021-07-13 13:48:37 UTC,2021-07-25 22:59:37 UTC,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
58101,16898,2021-08-26 05:08:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
60386,16898,2022-04-04 06:22:56 UTC,2022-05-23 07:33:56 UTC,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
60387,16898,2020-03-15 09:37:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
60388,16898,2020-11-23 14:49:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
89238,16898,2021-08-16 10:51:58 UTC,2021-09-11 23:08:58 UTC,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
89239,16898,2020-02-02 16:44:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
90415,16898,2022-04-04 13:23:11 UTC,2022-05-24 17:11:11 UTC,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
90416,16898,2020-11-29 11:09:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
90417,16898,2022-02-09 07:38:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
122268,16898,2020-02-16 12:07:11 UTC,2020-04-12 10:34:11 UTC,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
122269,16898,2020-06-18 07:39:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
122270,16898,2020-06-04 04:44:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
127210,16898,2021-07-19 23:09:07 UTC,2021-08-04 10:37:07 UTC,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
127211,16898,2021-06-25 02:28:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
127212,16898,2022-06-04 15:25:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
127213,16898,2022-05-12 12:40:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
152829,16898,2021-11-23 09:07:31 UTC,2022-01-13 23:06:31 UTC,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
152830,16898,2020-04-04 14:17:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
454004,16898,2022-04-27 20:13:19 UTC,2022-05-06 03:01:19 UTC,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
454005,16898,2020-07-19 09:49:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
454006,16898,2021-06-21 17:25:00 UTC,,13.924.999.965.820.400,Tops & Tees,Quiksilver Waterman Men's On The Rise,,25,Men,22811EE19846217512507785E74D12CC,3
53592,9482,2021-11-23 07:08:55 UTC,2022-01-10 02:34:55 UTC,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
53593,9482,2022-01-24 16:12:00 UTC,,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
143925,9482,2020-03-31 17:03:46 UTC,2020-04-02 14:40:46 UTC,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
143926,9482,2021-07-01 13:13:00 UTC,,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
148840,9482,2019-03-23 10:30:21 UTC,2019-05-13 13:23:21 UTC,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
148841,9482,2022-05-28 12:18:00 UTC,,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
217354,9482,2021-10-01 15:33:24 UTC,2021-11-19 12:13:24 UTC,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
217355,9482,2021-04-10 12:58:00 UTC,,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
345867,9482,2020-08-25 00:30:34 UTC,2020-09-03 00:27:34 UTC,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
345868,9482,2021-02-04 04:36:00 UTC,,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
366296,9482,2022-04-06 22:24:20 UTC,2022-05-29 00:34:20 UTC,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
366297,9482,2021-02-05 16:58:00 UTC,,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
366298,9482,2020-12-06 08:29:00 UTC,,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
406356,9482,2021-04-02 06:36:37 UTC,2021-06-01 02:45:37 UTC,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
406357,9482,2020-11-04 04:43:00 UTC,,57.119.999.527.931.200,Socks & Hosiery,KEEN Women Bellingham Low Ultralite Sock,,16,Women,C5A3C867A3DFB776552DCFC804D4937E,3
147358,13863,2021-03-03 04:48:47 UTC,2021-03-28 12:57:47 UTC,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
147359,13863,2020-03-21 13:17:00 UTC,,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
188362,13863,2021-09-05 04:13:50 UTC,2021-10-16 05:58:50 UTC,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
188363,13863,2021-09-21 09:27:00 UTC,,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
288529,13863,2020-01-10 05:33:07 UTC,2020-02-09 07:39:07 UTC,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
288530,13863,2021-02-02 07:47:00 UTC,,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
288531,13863,2022-06-01 03:59:00 UTC,,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
442626,13863,2022-03-17 02:22:26 UTC,2022-04-20 12:44:26 UTC,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
442627,13863,2020-05-23 04:06:00 UTC,,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
442628,13863,2021-11-24 03:43:00 UTC,,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
442629,13863,2020-06-08 13:36:00 UTC,,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
471825,13863,2021-03-17 10:22:06 UTC,2021-04-03 07:33:06 UTC,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
471826,13863,2021-02-11 00:17:00 UTC,,9.554.499.962.599.940,Accessories,Husky Animal Hat with Mittens,,24.25,Women,7992308D89FF6B43BC197C8EF9BD934B,3
12338,25135,2021-03-09 04:25:41 UTC,2021-05-03 08:55:41 UTC,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
12339,25135,2020-05-15 12:23:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
27522,25135,2021-12-23 19:45:55 UTC,2022-02-11 02:50:55 UTC,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
27523,25135,2021-04-29 16:09:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
27524,25135,2021-04-29 08:57:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
108524,25135,2021-06-20 16:49:50 UTC,2021-07-01 01:17:50 UTC,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
108525,25135,2020-09-12 00:21:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
108526,25135,2020-01-15 16:07:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
108527,25135,2020-04-10 16:37:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
218629,25135,2021-10-16 08:29:16 UTC,2021-11-11 11:35:16 UTC,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
218630,25135,2022-02-01 11:50:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
266404,25135,2021-10-13 03:49:12 UTC,2021-11-17 07:42:12 UTC,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
266405,25135,2021-11-12 17:04:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
266406,25135,2020-04-16 05:34:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
301945,25135,2021-10-10 12:37:57 UTC,2021-11-24 11:02:57 UTC,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
301946,25135,2021-09-21 11:35:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
343221,25135,2021-05-24 22:15:18 UTC,2021-07-02 11:58:18 UTC,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
343222,25135,2021-02-12 00:07:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
371129,25135,2021-12-10 16:01:05 UTC,2021-12-13 01:30:05 UTC,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
371130,25135,2020-10-20 10:57:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
371131,25135,2022-03-09 09:35:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
397314,25135,2022-05-08 13:51:23 UTC,2022-05-29 12:43:23 UTC,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
397315,25135,2020-08-17 10:20:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
484636,25135,2022-04-14 19:36:54 UTC,2022-04-23 17:34:54 UTC,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
484637,25135,2021-10-12 09:47:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
485643,25135,2021-09-15 23:34:33 UTC,2021-10-30 07:29:33 UTC,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
485644,25135,2021-11-23 04:12:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
485645,25135,2021-05-02 18:56:00 UTC,,124.763.997.392.416,Socks,Volcom Men's Argyle Socks,,22.479.999.542.236.300,Men,0DC76D68D436BB030EFBE3A8386EE47A,3
53357,11843,2022-02-06 16:20:15 UTC,2022-03-18 06:00:15 UTC,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
53358,11843,2021-12-06 18:10:00 UTC,,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
144689,11843,2021-08-30 02:58:11 UTC,2021-09-22 23:28:11 UTC,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
144690,11843,2022-06-01 05:35:00 UTC,,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
144691,11843,2020-05-06 04:42:00 UTC,,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
144692,11843,2020-10-22 11:39:00 UTC,,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
249016,11843,2021-10-02 01:41:10 UTC,2021-11-12 07:13:10 UTC,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
249017,11843,2020-05-17 07:36:00 UTC,,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
280057,11843,2022-05-01 05:15:24 UTC,2022-05-05 11:56:24 UTC,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
280058,11843,2021-08-18 04:16:00 UTC,,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
369039,11843,2021-01-13 05:30:31 UTC,2021-02-05 00:17:31 UTC,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
369040,11843,2020-12-11 17:28:00 UTC,,33.899.999.968.707.500,Intimates,Wendy Glez Rose Cami Black,,60,Women,B451DA363BB08B9A81CEADBADB5133EF,3
