order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
1,1,Returned,Male,2019-06-04 10:10:00 UTC,2019-06-08 20:53:00 UTC,2019-06-05 17:14:00 UTC,2019-06-08 15:55:00 UTC,2
2,2,Processing,Female,2022-05-23 14:42:00 UTC,,,,1
3,3,Complete,Male,2020-06-20 15:09:00 UTC,,2020-06-21 12:14:00 UTC,2020-06-24 17:28:00 UTC,3
4,3,Complete,Male,2021-08-23 15:09:00 UTC,,2021-08-26 07:58:00 UTC,2021-08-26 14:46:00 UTC,3
5,3,Shipped,Male,2021-07-01 15:09:00 UTC,,2021-07-03 11:21:00 UTC,,1
6,4,Processing,Female,2021-06-16 15:53:00 UTC,,,,2
7,4,Cancelled,Female,2022-05-08 15:53:00 UTC,,,,3
8,5,Processing,Male,2021-07-29 11:17:00 UTC,,,,1
9,5,Returned,Male,2021-09-20 11:17:00 UTC,2021-09-22 03:09:00 UTC,2021-09-20 13:33:00 UTC,2021-09-20 19:34:00 UTC,1
10,5,Shipped,Male,2021-10-11 11:17:00 UTC,,2021-10-13 02:04:00 UTC,,1
11,5,Cancelled,Male,2021-07-07 11:17:00 UTC,,,,2
12,7,Cancelled,Male,2022-05-06 10:38:00 UTC,,,,1
13,8,Shipped,Male,2021-10-15 12:33:00 UTC,,2021-10-16 13:33:00 UTC,,1
14,9,Returned,Female,2021-02-27 02:39:00 UTC,2021-03-05 13:30:00 UTC,2021-02-28 08:25:00 UTC,2021-03-04 09:17:00 UTC,1
15,10,Shipped,Male,2022-04-02 01:48:00 UTC,,2022-04-05 00:53:00 UTC,,1
16,10,Processing,Male,2022-06-05 01:48:00 UTC,,,,1
17,12,Cancelled,Male,2021-06-15 07:31:00 UTC,,,,1
18,13,Shipped,Male,2019-04-22 13:46:00 UTC,,2019-04-23 02:53:00 UTC,,3
19,15,Returned,Female,2021-05-24 02:08:00 UTC,2021-05-28 04:16:00 UTC,2021-05-26 13:13:00 UTC,2021-05-27 07:44:00 UTC,1
20,15,Complete,Female,2020-11-19 02:08:00 UTC,,2020-11-20 18:01:00 UTC,2020-11-24 10:22:00 UTC,4
21,16,Returned,Male,2022-06-04 06:36:00 UTC,2022-06-11 18:01:00 UTC,2022-06-04 17:48:00 UTC,2022-06-09 11:41:00 UTC,1
22,16,Shipped,Male,2022-06-05 06:36:00 UTC,,2022-06-08 03:33:00 UTC,,1
23,16,Cancelled,Male,2022-06-05 06:36:00 UTC,,,,4
24,17,Shipped,Male,2022-05-25 09:02:00 UTC,,2022-05-27 19:35:00 UTC,,1
25,18,Cancelled,Male,2020-11-18 06:22:00 UTC,,,,1
26,18,Shipped,Male,2021-04-28 06:22:00 UTC,,2021-04-29 00:44:00 UTC,,1
27,19,Cancelled,Male,2019-11-17 13:41:00 UTC,,,,1
28,20,Cancelled,Female,2022-03-28 04:48:00 UTC,,,,1
29,20,Complete,Female,2021-06-30 04:48:00 UTC,,2021-07-02 05:37:00 UTC,2021-07-02 23:17:00 UTC,1
30,21,Cancelled,Male,2019-07-06 00:01:00 UTC,,,,1
31,24,Cancelled,Male,2022-05-31 15:20:00 UTC,,,,2
32,25,Complete,Male,2022-05-07 05:39:00 UTC,,2022-05-07 21:41:00 UTC,2022-05-09 18:36:00 UTC,2
33,26,Returned,Male,2021-04-15 06:51:00 UTC,2021-04-18 13:08:00 UTC,2021-04-16 10:42:00 UTC,2021-04-17 02:14:00 UTC,1
34,27,Processing,Female,2022-05-03 07:30:00 UTC,,,,1
35,28,Returned,Female,2021-10-02 11:24:00 UTC,2021-10-06 16:01:00 UTC,2021-10-04 00:22:00 UTC,2021-10-05 16:56:00 UTC,2
36,29,Shipped,Male,2021-09-27 05:10:00 UTC,,2021-09-28 21:26:00 UTC,,1
